year,passenger_type,January,February,March,April,May,June,July,August,September,October,November,December,Total
2005,Domestic,192265.0,193905.0,217218.0,205509.0,230093.0,239036.0,264680.0,271490.0,229127.0,239721.0,207337.0,225227.0,2715608.0
2005,International,33783.0,32478.0,26179.0,3384.0,498.0,579.0,1022.0,864.0,633.0,440.0,,8627.0,108487.0
2005,Total Passengers,263351.0,263612.0,281125.0,240584.0,260710.0,275742.0,303701.0,308386.0,257803.0,272305.0,238224.0,266345.0,3231888.0
2005,Transborder,37303.0,37229.0,37728.0,31691.0,30119.0,36127.0,37999.0,36032.0,28043.0,32144.0,30887.0,32491.0,407793.0
2006,Domestic,206279.0,198245.0,222093.0,208140.0,244171.0,253629.0,278918.0,295063.0,248392.0,255642.0,221539.0,229214.0,2861325.0
2006,International,32021.0,26294.0,24448.0,2237.0,963.0,1389.0,1086.0,1271.0,1318.0,651.0,,8755.0,100433.0
2006,Total Passengers,274898.0,261217.0,285923.0,242967.0,276835.0,289965.0,317040.0,334657.0,279794.0,292241.0,257158.0,273843.0,3386538.0
2006,Transborder,36598.0,36678.0,39382.0,32590.0,31701.0,34947.0,37036.0,38323.0,30084.0,35948.0,35619.0,35874.0,424780.0
2007,Domestic,210627.0,208517.0,234315.0,235765.0,265440.0,270461.0,286710.0,308903.0,250191.0,265905.0,232592.0,231216.0,3000642.0
2007,International,31073.0,29741.0,22924.0,430.0,1357.0,1243.0,1799.0,1203.0,1180.0,1101.0,,14334.0,106385.0
2007,Total Passengers,281731.0,277781.0,301128.0,272432.0,302511.0,309657.0,327910.0,351893.0,284784.0,304643.0,271842.0,284361.0,3570673.0
2007,Transborder,40031.0,39523.0,43889.0,36237.0,35714.0,37953.0,39401.0,41787.0,33413.0,37637.0,39250.0,38811.0,463646.0
2008,Domestic,217251.0,219575.0,241857.0,238959.0,256558.0,265557.0,282841.0,290434.0,244056.0,252889.0,226214.0,228511.0,2964702.0
2008,International,35204.0,34599.0,29665.0,6293.0,1140.0,951.0,1524.0,1539.0,,,,11598.0,122513.0
2008,Total Passengers,294011.0,298955.0,315276.0,284776.0,294647.0,303830.0,326295.0,334503.0,277890.0,292104.0,265852.0,281894.0,3570033.0
2008,Transborder,41556.0,44781.0,43754.0,39524.0,36949.0,37322.0,41930.0,42530.0,33834.0,39215.0,39638.0,41785.0,482818.0
2009,Domestic,209208.0,203720.0,216130.0,228822.0,237392.0,245456.0,263149.0,277108.0,235560.0,241941.0,201255.0,217432.0,2777173.0
2009,International,39544.0,37933.0,36045.0,6191.0,148.0,,,,,,2224.0,15202.0,137287.0
2009,Total Passengers,290963.0,288362.0,298730.0,275641.0,270658.0,278667.0,301641.0,314780.0,265955.0,278138.0,242322.0,273583.0,3379440.0
2009,Transborder,42211.0,46709.0,46555.0,40628.0,33118.0,33211.0,38492.0,37672.0,30395.0,36197.0,38843.0,40949.0,464980.0
2010,Domestic,198728.0,190352.0,220044.0,214119.0,239806.0,248569.0,269495.0,266416.0,237496.0,239035.0,203004.0,215389.0,2742453.0
2010,International,42157.0,40393.0,33029.0,7803.0,68.0,1026.0,1418.0,1734.0,267.0,,6016.0,18371.0,152282.0
2010,Total Passengers,284894.0,277971.0,302256.0,263593.0,274430.0,285277.0,308858.0,306755.0,271011.0,275298.0,247696.0,271935.0,3369974.0
2010,Transborder,44009.0,47226.0,49183.0,41671.0,34556.0,35682.0,37945.0,38605.0,33248.0,36263.0,38676.0,38175.0,475239.0
2011,Domestic,196025.0,190669.0,210311.0,209447.0,233822.0,249116.0,274939.0,282271.0,244750.0,247115.0,213106.0,222268.0,2773839.0
2011,International,38988.0,38486.0,36924.0,9983.0,,1155.0,1964.0,1745.0,,245.0,8090.0,22750.0,160330.0
2011,Total Passengers,277295.0,271841.0,294336.0,260024.0,267923.0,283673.0,313337.0,320948.0,276239.0,282943.0,258420.0,282258.0,3389237.0
2011,Transborder,42282.0,42686.0,47101.0,40594.0,34101.0,33402.0,36434.0,36932.0,31489.0,35583.0,37224.0,37240.0,455068.0
2012,Domestic,217472.0,213719.0,224056.0,228588.0,248606.0,262821.0,285623.0,297477.0,249186.0,259296.0,220596.0,216575.0,2924015.0
2012,International,42078.0,41739.0,39619.0,8572.0,,,,,,135.0,6319.0,21085.0,159547.0
2012,Total Passengers,300739.0,298713.0,310606.0,276583.0,280971.0,295384.0,321019.0,335612.0,281395.0,296089.0,265541.0,275523.0,3538175.0
2012,Transborder,41189.0,43255.0,46931.0,39423.0,32365.0,32563.0,35396.0,38135.0,32209.0,36658.0,38626.0,37863.0,454613.0
2013,Domestic,209298.0,199516.0,218128.0,215398.0,245439.0,258950.0,281658.0,293195.0,242850.0,252826.0,212589.0,227943.0,2857790.0
2013,International,44579.0,44264.0,41193.0,9343.0,,,,,,233.0,6150.0,22239.0,168001.0
2013,Total Passengers,294372.0,285455.0,306771.0,264316.0,278834.0,292264.0,318170.0,332837.0,275748.0,290223.0,256493.0,288415.0,3483898.0
2013,Transborder,40495.0,41675.0,47450.0,39575.0,33395.0,33314.0,36512.0,39642.0,32898.0,37164.0,37754.0,38233.0,458107.0
2014,Domestic,207247.0,204023.0,218459.0,230741.0,256123.0,271895.0,300197.0,319765.0,261301.0,273966.0,226418.0,243863.0,3013998.0
2014,International,47678.0,45904.0,43761.0,11419.0,,,,,,469.0,6832.0,26949.0,183012.0
2014,Total Passengers,295020.0,291862.0,309170.0,284681.0,291593.0,309144.0,338159.0,362120.0,295485.0,311977.0,270730.0,309856.0,3669797.0
2014,Transborder,40095.0,41935.0,46950.0,42521.0,35470.0,37249.0,37962.0,42355.0,34184.0,37542.0,37480.0,39044.0,472787.0
2015,Domestic,215485.0,217727.0,230213.0,237929.0,271049.0,294343.0,318214.0,328273.0,273115.0,280815.0,239608.0,248767.0,3155537.0
2015,International,48478.0,47000.0,42530.0,15257.0,344.0,,,,,595.0,6590.0,24542.0,185336.0
2015,Total Passengers,308165.0,307261.0,317167.0,293369.0,303590.0,326395.0,353643.0,362952.0,303679.0,314030.0,279666.0,308119.0,3778035.0
2015,Transborder,44201.0,42535.0,44424.0,40183.0,32197.0,32052.0,35429.0,34679.0,30564.0,32620.0,33468.0,34810.0,437162.0
2016,Domestic,225133.0,227179.0,243923.0,240390.0,288919.0,307852.0,346905.0,360123.0,318059.0,321084.0,256100.0,266813.0,3402480.0
2016,International,50928.0,48998.0,40273.0,12392.0,1692.0,1966.0,2487.0,1761.0,1844.0,1129.0,6505.0,22483.0,192458.0
2016,Total Passengers,316319.0,316323.0,326651.0,292459.0,322424.0,342435.0,382505.0,395149.0,350680.0,353740.0,295552.0,320963.0,4015200.0
2016,Transborder,40258.0,40146.0,42455.0,39677.0,31813.0,32617.0,33113.0,33265.0,30777.0,31527.0,32947.0,31667.0,420262.0
2018,Domestic,264530.0,254849.0,279854.0,286084.0,325133.0,352650.0,393883.0,421321.0,341337.0,346551.0,288428.0,292589.0,3847209.0
2017,Domestic,246340.0,238272.0,266345.0,271508.0,320479.0,348906.0,381217.0,410213.0,316129.0,333098.0,274783.0,283470.0,3690760.0
2018,International,46150.0,43936.0,39771.0,8558.0,,768.0,2194.0,2004.0,500.0,193.0,9918.0,26622.0,180614.0
2017,International,49739.0,44731.0,40140.0,11807.0,,466.0,2383.0,2023.0,,304.0,8579.0,22745.0,182917.0
2018,Total Passengers,350825.0,339187.0,364372.0,333964.0,354809.0,384739.0,432662.0,462719.0,377291.0,384782.0,337963.0,361030.0,4484343.0
2017,Total Passengers,336486.0,324460.0,350710.0,321876.0,349237.0,380233.0,416560.0,447382.0,347460.0,366574.0,321423.0,343343.0,4305744.0
2017,Transborder,40407.0,41457.0,44225.0,38561.0,28758.0,30861.0,32960.0,35146.0,31331.0,33172.0,38061.0,37128.0,432067.0
2018,Transborder,40145.0,40402.0,44747.0,39322.0,29676.0,31321.0,36585.0,39394.0,35454.0,38038.0,39617.0,41819.0,456520.0
2019,Domestic,279208.0,268549.0,299019.0,284518.0,333060.0,354763.0,385433.0,392156.0,328678.0,324274.0,277733.0,285139.0,3812530.0
2019,International,44645.0,47535.0,52038.0,40930.0,36188.0,34662.0,35826.0,38676.0,36096.0,37341.0,37450.0,41563.0,188768.0
2019,Total Passengers,370952.0,363317.0,399056.0,334018.0,369248.0,390414.0,423135.0,433188.0,364774.0,361852.0,322395.0,351899.0,4484249.0
2019,Transborder,44645.0,47535.0,52038.0,40930.0,36188.0,34662.0,35826.0,38676.0,36096.0,37341.0,37450.0,41563.0,482950.0
2020,Domestic,254393.0,250603.0,149893.0,10946.0,14193.0,29914.0,60414.0,68475.0,57102.0,55485.0,39112.0,40034.0,1030563.0
2020,International,51299.0,54928.0,28508.0,,,,,,,,,,134735.0
2020,Total Passengers,353502.0,357054.0,205646.0,11021.0,14264.0,30417.0,61219.0,69363.0,58072.0,56534.0,40147.0,41987.0,1299225.0
2020,Transborder,47810.0,51523.0,27245.0,75.0,71.0,503.0,805.0,888.0,970.0,1049.0,1035.0,1953.0,133927.0
2021,Domestic,38706.0,28615.0,34100.0,34804.0,33851.0,47621.0,115486.0,193834.0,172694.0,176099.0,153087.0,165215.0,1194112.0
2021,International,,,,,,,,109.0,,,1283.0,6429.0,7821.0
2021,Total Passengers,40688.0,28739.0,34100.0,34804.0,33851.0,47621.0,115486.0,193943.0,175096.0,180550.0,159572.0,178604.0,1223054.0
2021,Transborder,1982.0,124.0,,,,,,,2402.0,4451.0,5202.0,6960.0,21121.0
2022,Domestic,101668.0,106022.0,161386.0,187774.0,250068.0,288159.0,307040.0,325561.0,287772.0,297280.0,243136.0,239854.0,2795719.0
2022,International,8727.0,9877.0,11125.0,5889.0,328.0,,,333.0,,1392.0,8966.0,23851.0,70488.0
2022,Total Passengers,117308.0,123763.0,187923.0,207006.0,264550.0,304758.0,318924.0,337327.0,299216.0,310912.0,272678.0,286749.0,3031113.0
2022,Transborder,6913.0,7864.0,15412.0,13343.0,14154.0,16599.0,11884.0,11433.0,11444.0,12240.0,20576.0,23044.0,164906.0
2023,Domestic,231084.0,226030.0,262394.0,259835.0,320599.0,356514.0,386772.0,408602.0,338395.0,333345.0,249582.0,234770.0,3607922.0
2023,International,37130.0,33056.0,32447.0,16993.0,,,,,,390.0,12883.0,33088.0,165987.0
2023,Total Passengers,295108.0,285405.0,329065.0,306316.0,339647.0,376469.0,408586.0,433746.0,363370.0,361305.0,294779.0,300997.0,4094793.0
2023,Transborder,26894.0,26319.0,34224.0,29488.0,19048.0,19955.0,21814.0,25144.0,24975.0,27570.0,32314.0,33139.0,320884.0
2024,Domestic,235857.0,231942.0,244929.0,257416.0,312887.0,343575.0,375649.0,405975.0,326481.0,335033.0,283535.0,280211.0,3633490.0
2024,International,43862.0,43573.0,44186.0,18447.0,1242.0,820.0,,,,1292.0,15947.0,34910.0,204279.0
2024,Total Passengers,314319.0,314553.0,336745.0,316419.0,344915.0,377177.0,411830.0,444768.0,360893.0,375985.0,342395.0,357479.0,4297478.0
2024,Transborder,34600.0,39038.0,47630.0,40556.0,30786.0,32782.0,36181.0,38793.0,34412.0,39660.0,42913.0,42358.0,459709.0
2025,Domestic,257765.0,252732.0,269313.0,284772.0,326870.0,341497.0,382927.0,412379.0,353643.0,,,,2881898.0
2025,International,46265.0,45480.0,44874.0,19097.0,2196.0,,,,,,,,157912.0
2025,Total Passengers,345943.0,341099.0,357849.0,342633.0,363467.0,372810.0,414513.0,444268.0,381433.0,,,,3364015.0
2025,Transborder,41913.0,42887.0,43662.0,38764.0,34401.0,31313.0,31586.0,31889.0,27790.0,,,,324205.0
